CustomerKey,Recency,Frequency,Monetary,R,F,M,RFM_Score,segment,Response
1097,124,4,78.960000000000008,2,2,2,222,Potential Loyal Customers,1
1098,177,4,607.96000000000004,2,2,2,222,Potential Loyal Customers,1
1099,256,4,2433.04,3,2,3,323,Potential Loyal Customers,1
1100,185,5,3503.6974999999998,2,3,3,233,Potential Loyal Customers,1
1195,109,5,2765.3975,2,3,3,233,Potential Loyal Customers,1
1196,92,6,4469.5581999999995,1,3,3,133,Almost Lost Customers,1
1197,152,2,13.98,2,1,1,211,New Customers,1
1198,108,5,178.96000000000001,1,3,2,132,Almost Lost Customers,1
1199,105,7,6575.79,1,3,3,133,Almost Lost Customers,1
1200,37,4,109.97,1,2,2,122,Almost Lost Customers,1
1295,149,2,38.980000000000004,2,1,1,211,New Customers,1
1296,7,8,161.28999999999999,1,3,2,132,Almost Lost Customers,1
1297,90,2,119.97999999999999,1,1,2,112,Lost Customers,1
1298,35,3,89.969999999999999,1,2,2,122,Almost Lost Customers,1
1299,249,3,48.969999999999999,3,2,1,321,New Customers,1
1300,67,3,2376.9599999999996,1,2,3,123,Almost Lost Customers,1
1394,374,2,1155.48,3,1,2,312,New Customers,1
1395,112,5,69.549999999999997,2,3,1,231,Small Spenders,1
1396,141,6,180.94,2,3,2,232,Loyal Customers,1
1397,152,2,124.98999999999999,2,1,2,212,New Customers,1
1398,118,4,4469.4696000000004,2,2,3,223,Potential Loyal Customers,1
1399,943,1,3578.27,3,1,3,313,Big Spenders,0
1400,115,2,23.779999999999998,2,1,1,211,New Customers,1
1494,182,5,4435.3796000000002,2,3,3,233,Potential Loyal Customers,1
1495,342,3,2502.8299999999999,3,2,3,323,Potential Loyal Customers,1
1496,183,4,724.47000000000003,2,2,2,222,Potential Loyal Customers,1
1497,337,3,5333.25,3,2,3,323,Potential Loyal Customers,1
1498,361,2,58.980000000000004,3,1,1,311,New Customers,1
1499,55,3,1760.47,1,2,2,122,Almost Lost Customers,1
1500,187,1,4.9900000000000002,2,1,1,211,New Customers,1
1594,62,3,1147.77,1,2,2,122,Almost Lost Customers,1
1595,49,4,589.96000000000004,1,2,2,122,Almost Lost Customers,1
1596,317,2,34.890000000000001,3,1,1,311,New Customers,1
1597,252,9,5030.3396000000002,3,3,3,333,Best Customers,1
1598,322,3,1938.47,3,2,2,322,Potential Loyal Customers,1
1599,191,2,7.2800000000000002,2,1,1,211,New Customers,1
1600,134,7,6813.1181999999999,2,3,3,233,Potential Loyal Customers,1
1695,290,2,2393.0599999999999,3,1,3,313,Big Spenders,0
1696,176,2,34.979999999999997,2,1,1,211,New Customers,1
1697,7,2,23.779999999999998,1,1,1,111,Lost Customers,1
1698,89,2,4886.6999999999998,1,1,3,113,Lost Customers,1
1699,186,4,3352.3974999999996,2,2,3,223,Potential Loyal Customers,1
1700,187,2,38.980000000000004,2,1,1,211,New Customers,1
1794,39,6,6114.8100000000004,1,3,3,133,Almost Lost Customers,1
1795,239,3,3807.3996000000002,3,2,3,323,Potential Loyal Customers,1
1796,362,1,3.9900000000000002,3,1,1,311,New Customers,1
1797,151,4,2735.5324999999998,2,2,3,223,Potential Loyal Customers,1
1798,192,4,143.96000000000001,2,2,2,222,Potential Loyal Customers,1
1799,904,1,3578.27,3,1,3,313,Big Spenders,0
1800,109,2,2589.0882000000001,2,1,3,213,New Customers,1
1896,27,4,45.219999999999999,1,2,1,121,Lost Customers,1
1897,257,1,24.989999999999998,3,1,1,311,New Customers,1
1898,342,2,1129.48,3,1,2,312,New Customers,1
1899,91,2,39.980000000000004,1,1,1,111,Lost Customers,1
1900,223,4,81.760000000000005,2,2,2,222,Potential Loyal Customers,1
1996,65,3,1957.47,1,2,2,122,Almost Lost Customers,1
1997,297,3,6056.6099999999997,3,2,3,323,Potential Loyal Customers,1
1998,96,3,4401.4096,1,2,3,123,Almost Lost Customers,1
1999,176,4,89.460000000000008,2,2,2,222,Potential Loyal Customers,1
2000,182,3,1134.47,2,2,2,222,Potential Loyal Customers,1
2095,91,3,2334.9799999999996,1,2,3,123,Almost Lost Customers,1
2096,264,5,6217.21,3,3,3,333,Best Customers,1
2097,338,4,2453.04,3,2,3,323,Potential Loyal Customers,1
2098,109,3,1179.47,2,2,2,222,Potential Loyal Customers,1
2099,176,4,99.570000000000007,2,2,2,222,Potential Loyal Customers,1
2100,157,5,2765.3975,2,3,3,233,Potential Loyal Customers,1
2194,124,3,193.97999999999999,2,2,2,222,Potential Loyal Customers,1
2195,83,5,60.049999999999997,1,3,1,131,Lost Customers,1
2196,26,4,91.920000000000002,1,2,2,122,Almost Lost Customers,1
2197,162,5,3199.4399999999996,2,3,3,233,Potential Loyal Customers,1
2198,131,3,805.33000000000004,2,2,2,222,Potential Loyal Customers,1
2199,258,2,28.979999999999997,3,1,1,311,New Customers,1
2200,48,2,29.479999999999997,1,1,1,111,Lost Customers,1
2295,33,1,539.99000000000001,1,1,2,112,Lost Customers,1
2296,87,2,38.980000000000004,1,1,1,111,Lost Customers,1
2297,237,5,1372.95,3,3,2,332,Potential Loyal Customers,1
2298,33,2,56.969999999999999,1,1,1,111,Lost Customers,1
2299,177,2,1155.48,2,1,2,212,New Customers,1
2300,156,2,39.980000000000004,2,1,1,211,New Customers,1
2394,314,4,562.96000000000004,3,2,2,322,Potential Loyal Customers,1
2395,311,2,78.97999999999999,3,1,2,312,New Customers,1
2396,283,5,2477.5300000000002,3,3,3,333,Best Customers,1
2397,240,1,4.9900000000000002,3,1,1,311,New Customers,1
2398,80,2,94.47999999999999,1,1,2,112,Lost Customers,1
2399,52,5,114.20999999999999,1,3,2,132,Almost Lost Customers,1
2400,45,2,2983.3400000000001,1,1,3,113,Lost Customers,1
2496,40,3,91.280000000000001,1,2,2,122,Almost Lost Customers,1
2497,188,3,3043.3299999999999,2,2,3,223,Potential Loyal Customers,1
2498,196,2,13.98,2,1,1,211,New Customers,1
2499,221,4,8159.0399999999991,2,2,3,223,Potential Loyal Customers,1
2500,141,3,4355.6099999999997,2,2,3,223,Potential Loyal Customers,1
2595,84,4,1676.46,1,2,2,122,Almost Lost Customers,1
2596,86,3,2398.0500000000002,1,2,3,123,Almost Lost Customers,1
2597,45,6,94.230000000000004,1,3,2,132,Almost Lost Customers,1
2598,187,1,4.9900000000000002,2,1,1,211,New Customers,1
2599,198,6,6117.6899999999996,2,3,3,233,Potential Loyal Customers,1
2600,328,2,34.979999999999997,3,1,1,311,New Customers,1
2694,89,3,32.269999999999996,1,2,1,121,Lost Customers,1
2695,243,1,1120.49,3,1,2,312,New Customers,1
2696,78,1,69.989999999999995,1,1,1,111,Lost Customers,1
2697,297,3,69.969999999999999,3,2,1,321,New Customers,1
2698,19,1,69.989999999999995,1,1,1,111,Lost Customers,1
2699,239,4,6079.2399999999998,3,2,3,323,Potential Loyal Customers,1
2794,265,2,6.2800000000000002,3,1,1,311,New Customers,1
2795,252,2,7.2800000000000002,3,1,1,311,New Customers,1
2796,239,3,69.969999999999999,3,2,1,321,New Customers,1
2797,173,1,4.9900000000000002,2,1,1,211,New Customers,1
2798,95,4,63.869999999999997,1,2,1,121,Lost Customers,1
2799,62,3,2334.9699999999998,1,2,3,123,Almost Lost Customers,1
2800,35,2,4118.2600000000002,1,1,3,113,Lost Customers,1
2895,108,12,180.78999999999999,1,3,2,132,Almost Lost Customers,1
2896,76,2,1155.48,1,1,2,112,Lost Customers,1
2897,129,2,24.27,2,1,1,211,New Customers,1
2898,170,5,2744.5225,2,3,3,233,Potential Loyal Customers,1
2899,3,9,252.31999999999999,1,3,2,132,Almost Lost Customers,1
2900,224,2,561.97000000000003,2,1,2,212,New Customers,1
2995,153,7,6962.0999999999995,2,3,3,233,Potential Loyal Customers,1
2996,218,1,4.9900000000000002,2,1,1,211,New Customers,1
2997,177,6,1243.4400000000001,2,3,2,232,Loyal Customers,1
2998,69,7,208.41,1,3,2,132,Almost Lost Customers,1
2999,273,3,3617.8299999999999,3,2,3,323,Potential Loyal Customers,1
3000,86,7,234.44,1,3,2,132,Almost Lost Customers,1
3096,167,4,45.950000000000003,2,2,1,221,New Customers,1
3097,147,8,167.83000000000001,2,3,2,232,Loyal Customers,1
3098,36,1,2319.9899999999998,1,1,3,113,Lost Customers,1
3099,162,4,1739.46,2,2,2,222,Potential Loyal Customers,1
3100,84,2,7.2800000000000002,1,1,1,111,Lost Customers,1
3196,747,1,2443.3499999999999,3,1,3,313,Big Spenders,0
3197,12,65,1434.99,1,3,2,132,Almost Lost Customers,1
3198,99,2,3772.4096,1,1,3,113,Lost Customers,1
3199,153,3,4464.4796000000006,2,2,3,223,Potential Loyal Customers,1
3200,353,4,110.46000000000001,3,2,2,322,Potential Loyal Customers,1
3295,114,4,4448.3796000000002,2,2,3,223,Potential Loyal Customers,1
3296,185,1,4.9900000000000002,2,1,1,211,New Customers,1
3297,267,6,102.84999999999999,3,3,2,332,Potential Loyal Customers,1
3298,66,4,3287.3199999999997,1,2,3,123,Almost Lost Customers,1
3299,229,5,4460.3796000000002,2,3,3,233,Potential Loyal Customers,1
3300,339,2,1735.98,3,1,2,312,New Customers,1
3394,300,3,596.96000000000004,3,2,2,322,Potential Loyal Customers,1
3395,231,6,3394.8974999999996,3,3,3,333,Best Customers,1
3396,193,2,67.489999999999995,2,1,1,211,New Customers,1
3397,259,4,158.88,3,2,2,322,Potential Loyal Customers,1
3398,57,5,1789.45,1,3,2,132,Almost Lost Customers,1
3399,157,4,571.72000000000003,2,2,2,222,Potential Loyal Customers,1
3400,328,2,119.97999999999999,3,1,2,312,New Customers,1
3495,392,4,3361.5324999999998,3,2,3,323,Potential Loyal Customers,1
3496,385,3,2398.0500000000002,3,2,3,323,Potential Loyal Customers,1
3497,374,2,3443.7874999999999,3,1,3,313,Big Spenders,0
3498,121,3,37.270000000000003,2,2,1,221,New Customers,1
3499,31,5,3249.3099999999995,1,3,3,133,Almost Lost Customers,1
3500,60,2,13.98,1,1,1,111,Lost Customers,1
3595,282,2,23.779999999999998,3,1,1,311,New Customers,1
3596,65,3,2371.9599999999996,1,2,3,123,Almost Lost Customers,1
3597,173,1,69.989999999999995,2,1,1,211,New Customers,1
3598,175,2,548.98000000000002,2,1,2,212,New Customers,1
3599,36,5,597.95000000000005,1,3,2,132,Almost Lost Customers,1
3600,378,3,1728.27,3,2,2,322,Potential Loyal Customers,1
3696,99,3,1938.47,1,2,2,122,Almost Lost Customers,1
3697,323,5,2218.8975,3,3,3,333,Best Customers,1
3698,35,5,575.71000000000004,1,3,2,132,Almost Lost Customers,1
3699,77,3,2398.0500000000002,1,2,3,123,Almost Lost Customers,1
3700,311,3,4486.4096,3,2,3,323,Potential Loyal Customers,1
3794,21,8,153.20999999999998,1,3,2,132,Almost Lost Customers,1
3795,241,2,603.49000000000001,3,1,2,312,New Customers,1
3796,49,11,6383.8799999999992,1,3,3,133,Almost Lost Customers,1
3797,344,3,563.76999999999998,3,2,2,322,Potential Loyal Customers,1
3798,59,2,4624.9125000000004,1,1,3,113,Lost Customers,1
3799,385,2,574.98000000000002,3,1,2,312,New Customers,1
3800,347,2,14.98,3,1,1,311,New Customers,1
3895,207,13,280.63999999999999,2,3,2,232,Loyal Customers,1
3896,385,2,1145.48,3,1,2,312,New Customers,1
3897,139,1,1120.49,2,1,2,212,New Customers,1
3898,205,6,4833.0299999999997,2,3,3,233,Potential Loyal Customers,1
3899,216,4,114.46000000000001,2,2,2,222,Potential Loyal Customers,1
3900,41,4,5930.2299999999996,1,2,3,123,Almost Lost Customers,1
3995,310,2,34.979999999999997,3,1,1,311,New Customers,1
3996,221,5,815.81000000000006,2,3,2,232,Loyal Customers,1
3997,312,5,6060.5,3,3,3,333,Best Customers,1
3998,88,2,39.980000000000004,1,1,1,111,Lost Customers,1
3999,195,5,2501.3099999999999,2,3,3,233,Potential Loyal Customers,1
4000,221,1,34.990000000000002,2,1,1,211,New Customers,1
4095,71,3,32.219999999999999,1,2,1,121,Lost Customers,1
4096,263,2,78.97999999999999,3,1,2,312,New Customers,1
4097,338,4,5888.2399999999998,3,2,3,323,Potential Loyal Customers,1
4098,26,3,34.469999999999999,1,2,1,121,Lost Customers,1
4099,65,3,64.469999999999999,1,2,1,121,Lost Customers,1
4100,28,4,71.27000000000001,1,2,1,121,Lost Customers,1
4195,114,3,4462.1581999999999,2,2,3,223,Potential Loyal Customers,1
4196,86,7,6497.21,1,3,3,133,Almost Lost Customers,1
4197,135,4,3244.9599999999996,2,2,3,223,Potential Loyal Customers,1
4198,314,3,3021.0425,3,2,3,323,Potential Loyal Customers,1
4199,176,1,69.989999999999995,2,1,1,211,New Customers,1
4200,218,3,1759.97,2,2,2,222,Potential Loyal Customers,1
4295,80,2,13.98,1,1,1,111,Lost Customers,1
4296,159,3,67.930000000000007,2,2,1,221,New Customers,1
4297,101,4,4404.7299999999996,1,2,3,123,Almost Lost Customers,1
4298,7,2,38.979999999999997,1,1,1,111,Lost Customers,1
4299,541,1,2049.0981999999999,3,1,2,312,New Customers,1
4300,66,2,1145.48,1,1,2,112,Lost Customers,1
4395,306,2,59.980000000000004,3,1,1,311,New Customers,1
4396,178,4,3124.4499999999994,2,2,3,223,Potential Loyal Customers,1
4397,55,3,3298.9381999999996,1,2,3,123,Almost Lost Customers,1
4398,130,2,39.980000000000004,2,1,1,211,New Customers,1
4399,72,4,2317.9199999999996,1,2,3,123,Almost Lost Customers,1
4400,257,6,6801.1281999999992,3,3,3,333,Best Customers,1
4494,243,4,1169.46,3,2,2,322,Potential Loyal Customers,1
4495,450,1,2049.0981999999999,3,1,2,312,New Customers,1
4496,159,4,5773.04,2,2,3,223,Potential Loyal Customers,1
4497,14,9,189.53,1,3,2,132,Almost Lost Customers,1
4498,279,2,29.479999999999997,3,1,1,311,New Customers,1
4499,44,2,56.969999999999999,1,1,1,111,Lost Customers,1
4500,39,2,38.980000000000004,1,1,1,111,Lost Customers,1
4596,362,5,74.240000000000009,3,3,2,332,Potential Loyal Customers,1
4597,294,2,123.97999999999999,3,1,2,312,New Customers,1
4598,348,4,5930.2299999999996,3,2,3,323,Potential Loyal Customers,1
4599,261,5,2480.9900000000002,3,3,3,333,Best Customers,1
4600,127,2,1468.5882000000001,2,1,2,212,New Customers,1
4695,184,2,39.980000000000004,2,1,1,211,New Customers,1
4696,290,4,2407.04,3,2,3,323,Potential Loyal Customers,1
4697,197,3,36.270000000000003,2,2,1,221,New Customers,1
4698,324,2,751.34000000000003,3,1,2,312,New Customers,1
4699,348,2,39.980000000000004,3,1,1,311,New Customers,1
4700,122,3,40.229999999999997,2,2,1,221,New Customers,1
4796,340,4,1251.1199999999999,3,2,2,322,Potential Loyal Customers,1
4797,168,1,3.9900000000000002,2,1,1,211,New Customers,1
4798,43,5,6012.2299999999996,1,3,3,133,Almost Lost Customers,1
4799,236,4,92.27000000000001,3,2,2,322,Potential Loyal Customers,1
4800,89,4,921.76999999999998,1,2,2,122,Almost Lost Customers,1
4894,1015,1,3578.27,3,1,3,313,Big Spenders,0
4895,241,1,9.9900000000000002,3,1,1,311,New Customers,1
4896,63,5,4406.0581999999995,1,3,3,133,Almost Lost Customers,1
4897,276,3,80.960000000000008,3,2,2,322,Potential Loyal Customers,1
4898,96,4,4384.0781999999999,1,2,3,123,Almost Lost Customers,1
4899,272,3,37.270000000000003,3,2,1,321,New Customers,1
4900,52,4,2478.5681999999997,1,2,3,123,Almost Lost Customers,1
4995,188,2,561.48000000000002,2,1,2,212,New Customers,1
4996,361,2,14.98,3,1,1,311,New Customers,1
4997,135,5,3931.5225,2,3,3,233,Potential Loyal Customers,1
4998,229,2,119.97999999999999,2,1,2,212,New Customers,1
4999,334,3,69.969999999999999,3,2,1,321,New Customers,1
5000,447,1,1000.4375,3,1,2,312,New Customers,1
5095,108,2,2452.3399999999997,1,1,3,113,Lost Customers,1
5096,306,3,195.97,3,2,2,322,Potential Loyal Customers,1
5097,48,4,4354.6000000000004,1,2,3,123,Almost Lost Customers,1
5098,387,3,1149.47,3,2,2,322,Potential Loyal Customers,1
5099,257,3,63.969999999999999,3,2,1,321,New Customers,1
5100,97,5,609.45000000000005,1,3,2,132,Almost Lost Customers,1
5196,346,2,2419.0599999999999,3,1,3,313,Big Spenders,0
5197,36,1,32.600000000000001,1,1,1,111,Lost Customers,1
5198,142,2,7.2800000000000002,2,1,1,211,New Customers,1
5199,105,4,567.75999999999999,1,2,2,122,Almost Lost Customers,1
5200,3,5,231.96000000000001,1,3,2,132,Almost Lost Customers,1
5295,40,4,3034.0681999999997,1,2,3,123,Almost Lost Customers,1
5296,185,3,64.469999999999999,2,2,1,221,New Customers,1
5297,174,3,1714.97,2,2,2,222,Potential Loyal Customers,1
5298,256,2,2419.0599999999999,3,1,3,313,Big Spenders,0
5299,229,3,69.969999999999999,2,2,1,221,New Customers,1
5300,11,4,61.450000000000003,1,2,1,121,Lost Customers,1
5396,221,2,13.98,2,1,1,211,New Customers,1
5397,39,5,6684.5900000000001,1,3,3,133,Almost Lost Customers,1
5398,219,5,1918.3975,2,3,2,232,Loyal Customers,1
5399,121,4,588.96000000000004,2,2,2,222,Potential Loyal Customers,1
5400,142,5,4519.4596000000001,2,3,3,233,Potential Loyal Customers,1
5401,151,9,260.82999999999998,2,3,2,232,Loyal Customers,1
5402,48,2,574.98000000000002,1,1,2,112,Lost Customers,1
5403,217,4,121.57000000000001,2,2,2,222,Potential Loyal Customers,1
5404,246,2,2721.5524999999998,3,1,3,313,Big Spenders,0
5405,132,2,574.98000000000002,2,1,2,212,New Customers,1
5406,47,4,1233.96,1,2,2,122,Almost Lost Customers,1
5407,241,10,8211.4799999999996,3,3,3,333,Best Customers,1
5408,190,3,84.469999999999999,2,2,2,222,Potential Loyal Customers,1
5409,137,2,34.979999999999997,2,1,1,211,New Customers,1
5410,264,4,2433.04,3,2,3,323,Potential Loyal Customers,1
5411,348,2,53.980000000000004,3,1,1,311,New Customers,1
5412,278,3,43.969999999999999,3,2,1,321,New Customers,1
5413,82,3,1938.47,1,2,2,122,Almost Lost Customers,1
5414,148,3,71.580000000000013,2,2,1,221,New Customers,1
5415,142,3,2371.9599999999996,2,2,3,223,Potential Loyal Customers,1
5416,190,3,37.269999999999996,2,2,1,221,New Customers,1
5417,243,3,42.840000000000003,3,2,1,321,New Customers,1
5418,173,2,39.980000000000004,2,1,1,211,New Customers,1
5419,198,5,1597.5581999999999,2,3,2,232,Loyal Customers,1
5420,46,2,34.979999999999997,1,1,1,111,Lost Customers,1
5421,274,3,89.969999999999999,3,2,2,322,Potential Loyal Customers,1
5422,18,2,49.479999999999997,1,1,1,111,Lost Customers,1
5423,5,1,21.98,1,1,1,111,Lost Customers,1
5424,167,1,21.489999999999998,2,1,1,211,New Customers,1
5425,64,4,70.219999999999999,1,2,1,121,Lost Customers,1
5301,590,1,2049.0981999999999,3,1,2,312,New Customers,1
5302,347,3,1869.5781999999999,3,2,2,322,Potential Loyal Customers,1
5303,194,2,39.980000000000004,2,1,1,211,New Customers,1
5304,85,1,24.989999999999998,1,1,1,111,Lost Customers,1
5305,237,5,2835.0225,3,3,3,333,Best Customers,1
5306,124,2,56.969999999999999,2,1,1,211,New Customers,1
5307,43,5,2397.9499999999998,1,3,3,133,Almost Lost Customers,1
5308,112,2,2393.0599999999999,2,1,3,213,New Customers,1
5309,220,2,1754.98,2,1,2,212,New Customers,1
5310,316,1,69.989999999999995,3,1,1,311,New Customers,1
5311,24,8,164.81999999999999,1,3,2,132,Almost Lost Customers,1
5312,308,2,124.98999999999999,3,1,2,312,New Customers,1
5313,180,2,54.980000000000004,2,1,1,211,New Customers,1
5314,80,1,69.989999999999995,1,1,1,111,Lost Customers,1
5315,194,6,1645.5482,2,3,2,232,Loyal Customers,1
5316,282,3,126.96000000000001,3,2,2,322,Potential Loyal Customers,1
5317,228,2,1155.48,2,1,2,212,New Customers,1
5318,226,1,539.99000000000001,2,1,2,212,New Customers,1
5319,277,1,34.990000000000002,3,1,1,311,New Customers,1
5320,176,3,42.969999999999999,2,2,1,221,New Customers,1
5321,290,3,71.580000000000013,3,2,1,321,New Customers,1
5322,318,3,60.470000000000006,3,2,1,321,New Customers,1
5323,240,1,69.989999999999995,3,1,1,311,New Customers,1
5324,337,4,40.219999999999999,3,2,1,321,New Customers,1
5325,271,2,7.2800000000000002,3,1,1,311,New Customers,1
5326,307,4,102.96000000000001,3,2,2,322,Potential Loyal Customers,1
5327,339,1,28.989999999999998,3,1,1,311,New Customers,1
5328,209,1,21.98,2,1,1,211,New Customers,1
5329,364,3,64.469999999999999,3,2,1,321,New Customers,1
5330,291,3,1228.8299999999999,3,2,2,322,Potential Loyal Customers,1
5331,260,5,82.950000000000003,3,3,2,332,Potential Loyal Customers,1
5332,271,6,8121.3299999999999,3,3,3,333,Best Customers,1
5333,364,2,39.980000000000004,3,1,1,311,New Customers,1
5334,205,3,15.23,2,2,1,221,New Customers,1
5335,327,1,2384.0700000000002,3,1,3,313,Big Spenders,0
5336,60,2,2451.2999999999997,1,1,3,113,Lost Customers,1
5337,329,3,2174.9175,3,2,3,323,Potential Loyal Customers,1
5338,170,3,2756.5425,2,2,3,223,Potential Loyal Customers,1
5339,182,3,1357.97,2,2,2,222,Potential Loyal Customers,1
5340,113,3,37.270000000000003,2,2,1,221,New Customers,1
5341,79,5,159.96000000000001,1,3,2,132,Almost Lost Customers,1
5342,218,1,21.98,2,1,1,211,New Customers,1
5343,53,2,4886.6999999999998,1,1,3,113,Lost Customers,1
5344,166,2,1819.5882000000001,2,1,2,212,New Customers,1
5345,119,3,84.960000000000008,2,2,2,222,Potential Loyal Customers,1
5346,284,2,58.980000000000004,3,1,1,311,New Customers,1
5347,215,2,39.980000000000004,2,1,1,211,New Customers,1
5348,284,2,574.98000000000002,3,1,2,312,New Customers,1
5349,35,2,2354.9899999999998,1,1,3,113,Lost Customers,1
5350,271,1,29.989999999999998,3,1,1,311,New Customers,1
5351,109,2,1750.98,2,1,2,212,New Customers,1
5352,219,3,3001.0425,2,2,3,223,Potential Loyal Customers,1
5353,54,2,38.980000000000004,1,1,1,111,Lost Customers,1
5354,9,2,13.98,1,1,1,111,Lost Customers,1
5355,86,2,39.980000000000004,1,1,1,111,Lost Customers,1
5356,287,3,27.77,3,2,1,321,New Customers,1
5357,269,2,4118.2600000000002,3,1,3,313,Big Spenders,0
5358,154,2,1155.48,2,1,2,212,New Customers,1
5359,232,2,2393.0599999999999,3,1,3,313,Big Spenders,0
5360,149,2,1735.98,2,1,2,212,New Customers,1
5361,298,3,4139.75,3,2,3,323,Potential Loyal Customers,1
5362,64,2,33.979999999999997,1,1,1,111,Lost Customers,1
5363,11,3,75.469999999999999,1,2,2,122,Almost Lost Customers,1
